created_at,screen_name,text
2021-02-22 15:22:27,Michel_Atieno,"Adulting is a trap!!! 😬😬
Absolute madness.

ukibaki na change, hiyo ni baraka. https://t.co/8gZDIZe2ke"
2021-02-22 04:59:13,Michel_Atieno,RT @sza: Heartbroken . Inspired . Ready .
2021-02-21 03:45:12,IvyTulesi,@melisamalala @Michel_Atieno @eugeneznm @Dirty_Tackle Braaaaatatat!!!!!
2021-02-21 03:44:25,IvyTulesi,@melisamalala @Michel_Atieno @eugeneznm @Dirty_Tackle Professor X BEEN ready!!! Will app you 😃
2021-02-20 19:55:46,melisamalala,@Michel_Atieno @IvyTulesi @eugeneznm @Dirty_Tackle X-Men BEEN formed! 🤣
2021-02-20 19:50:46,Michel_Atieno,"@IvyTulesi @eugeneznm @melisamalala @Dirty_Tackle Me Niko ready. 
Let's set a date and get this going. 
I been ready."
2021-02-20 19:39:42,melisamalala,@IvyTulesi @Michel_Atieno @eugeneznm @Dirty_Tackle @IvyTulesi Lara BEEN Croft 😂
2021-02-20 17:59:57,IvyTulesi,@Michel_Atieno @eugeneznm @melisamalala @Dirty_Tackle we need to do a podcast episode. Niko na notes zangu ready an… https://t.co/Fu44gON2Jq
2021-02-20 17:31:52,Michel_Atieno,"RT @melisamalala: @loisemachira @eugeneznm @CindyMuriithi @Michel_Atieno @IvyTulesi @KaranjaNzisa @relief_connect 
Yes, I've always wondere…"
2021-02-20 15:38:23,IvyTulesi,"RT @melisamalala: @loisemachira @eugeneznm @CindyMuriithi @Michel_Atieno @IvyTulesi @KaranjaNzisa @relief_connect 
Yes, I've always wondere…"
2021-02-20 15:37:42,melisamalala,"@loisemachira @eugeneznm @CindyMuriithi @Michel_Atieno @IvyTulesi @KaranjaNzisa @relief_connect 
Yes, I've always w… https://t.co/h35OnM6lzo"
2021-02-20 09:32:07,Michel_Atieno,"Lol... Ati la Cosa what?? 🤣🤣.. 
True story https://t.co/DSHREDOKbN"
2021-02-19 09:47:16,Michel_Atieno,@melisamalala Makes sense now. Thank you for reminding me. Its been quite hectic.
2021-02-19 09:42:35,melisamalala,@Michel_Atieno Mercury is in retrograde
2021-02-19 09:41:19,Michel_Atieno,"A lot of people from my past life keep showing up unprovoked, and I am meeting them in places I never expected too.… https://t.co/tXUtBsMBVw"
2021-02-19 08:44:05,Michel_Atieno,RT @beiyaukweli: Graphic designer ametuundia kitu na imeweza https://t.co/709i6KC24j https://t.co/2LFZZZ8ceI
2021-02-18 08:27:10,Michel_Atieno,Sometimes you just want to cry after loosing a game 😭😭😭but reporters want to ask questions that don't make sense.… https://t.co/05pFfppZHU
